CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U55101GA2008PTC005875,TUDOR RESORT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2008-08-25,"The Goan Village Resort   Next to Health Centre, Candolim,candolim Bardez,Goa,403515-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2009PTC006089,VMSALGAOCAR HOTELS AND RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2305000000.00,2100000.00,2009-05-21,"SALGAOCAR CENTRE, E4, MURGAON ESTATE   OFF AIRPORT ROAD,CHICALIM,South Goa,Goa,403711-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2010PTC006392,TONY AND SONS RESORTS (GOA) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2010-05-18,"BGF-3, SYLVAN APARTMENTS   SYLVAN APARTMENTS,SIOLIM,Goa,403517-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2012PTC007045,ROSSNORTON HOLIDAY HOMES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-09-15,"2201 RIVIERA HERMITAGE   XIMER,ARPORA,Goa,403518-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2013PTC007173,VILLA THERESA HOSPITALITY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-02-27,"House No.5/216 -B, Beach Street, Umta Vaddo,   Calangute, Bardez,,Calangute,North Goa,Goa,403516-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2013PTC007235,SHONIT HOSPITALITY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,2013-05-24,"C-110, MIRAMAR ALTESS MANOR   CARANZALEM TISWADI GOA,CARANZALEM,North Goa,Goa,403002-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2014PTC007485,LOTUS MOTELS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,2014-07-05,"108/109, Madhav Chambers   Malbhat,Margao,South Goa,Goa,403601-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2016PTC007793,ZEETOU HOTELS AND VENTURES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-01-01,"6-S-1, ROSARY APTS,   MIRAMAR PANAJI GOA,PANAJI,North Goa,Goa,403001-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2016PTC013071,YAGODKA MOYA PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2016-12-13,"289/1 (B)   KHALCHAWADA,HARMAL,ARAMBOL,North Goa,Goa,403524-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2019OPC014004,DUCK 'N' CHILL (OPC) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,One Person Company,50000.00,5000.00,2019-06-27,"PLOT NO 124/8, DHAWALKHAJAN   AGONDA,CANACONA,South Goa,Goa,403702-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2019PTC014166,TEAMDHANDA RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-11-26,"OFFICE NO 05, 1ST FLOOR, ALIADOS BLDG   NEAR GOMANT NIKETAN, A B RD MARGAO,SALCETE,South Goa,Goa,403601-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2020OPC014342,SECOND HARMONY (OPC) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2020-05-12,"S-9 House no 546/2i Adhiraj Ocean   Vista, Near Prime Rose, Anjuna,Bardez,North Goa,Goa,403509-India",Unlisted,Strike Off,goa,Indian,55101,Trading
U55101GA2021PTC014888,JUNGLE MELODY HOSPITALITY PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-07-16,"C/O ULHAS R GAUNKAR, DESSAIWADA   AGONDA,CANACONA,South Goa,Goa,403702-India",Unlisted,Active,goa,Indian,55101,Trading
U55101GA2023PTC015898,VP HOTELS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-04-28,"Flat No. B-35, Sapna Valley, Pajifond,  Margao,Salcete,South Goa,Goa,403601-India",Unlisted,Active,goa,Indian,55101,"Transport, storage and Communications"
U55101GA2024PTC016685,MARSA VILLAS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-06-25,"House No.169/1K,,Ground Floor, Mapusa B,Bardez,North Goa,Goa,403513-India",Unlisted,Active,goa,Indian,55101,"Transport, storage and Communications"
U55101GA2024PTC016967,SR GRANDEUR INN PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,500000.00,2024-12-06,"F.N. 201, BLDG B,PADRE PADRO, FERRARO ROAD,Salcete,South Goa,Goa,403602-India",Unlisted,Active,goa,Indian,55101,"Transport, storage and Communications"
U55201GA2004PTC003631,ROD AND ROYCE RESTAURANTS AND RESORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,500000.00,2004-10-12,"BLOCK B/2 PALMARINHAPORBA VADDO   CALANGUTE BARDEZ,GOA,Goa,403516-India",Unlisted,Under process of striking off,goa,Indian,55201,Trading
U55202GA2006PTC004595,DIL KUSH RESTAURANT PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2006-04-21,"H.NO. 550   KARAHIRMOLL AGONDA,CANACONA,South Goa,Goa,403702-India",Unlisted,Active,goa,Indian,55202,Trading
U55204GA2018PTC013592,LOCASLOVE PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,118860.00,2018-06-01,"467   Khalchawada,ARAMBOL,North Goa,Goa,403524-India",Unlisted,Active,goa,Indian,55204,Trading
U95000GA2020OPC014297,TRINETH SERVICES (OPC) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2020-02-20,"HOUSE NO-13F   COTTAMOL,,CUNCOLIM,South Goa,Goa,403703-India",Unlisted,Strike Off,goa,Indian,95000,"Community, personal and Social Services"
U01403GA2008PTC005693,GOLDEN HORSE PLANTATIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,100000.00,2008-04-01,"SALGAOCAR CENTRE, E4, MURGAON ESTATE   OFF AIRPORT ROAD,CHICALIM,South Goa,Goa,403711-India",Unlisted,Active,goa,Indian,01403,Agriculture and Allied Activities
U01410GA2006PTC004976,HASKA AGRO AND AGGREGATES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,0.00,2006-12-29,"GROUND FLOOR, C/O HASAN MOTORS   DUKLE HEAVEN, TAMBADI MATTI, ST. INEZ,PANAJI,North Goa,Goa,403001-India",Unlisted,Strike Off,goa,Indian,01410,Agriculture and Allied Activities
U01500GA2023PTC015957,GOAN FEED SECURITY FPO PRODUCER COMPANY LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,84000.00,2023-06-08,"H. NO. 136, DABAL,Quepem,South Goa,Goa,403410-India",Unlisted,Active,goa,Indian,01500,Agriculture and Allied Activities
U01690GA1994PTC001690,SUPREME ALUMINIUM AND STEEL FABRICATORS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1500000.00,2000.00,1994-11-01,"UMASHANKAR  NEAR MPTGROUND BAINA   VASCO DA GAMA,GOA,Goa,403802-India",Unlisted,Under process of striking off,goa,Indian,01690,Agriculture and Allied Activities
U02590GA1998PTC002590,TROPICAL BOUNTY RESORTS AND HOTELS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,2000000.00,100000.00,1998-08-20,"8 2ND FLOOR DURGAAPARTMENTS DURGA   MIRANDA ROAD MARGAO,GOA,Goa,403601-India",Unlisted,Strike Off,goa,Indian,02590,Agriculture and Allied Activities
U02601GA1998PTC002601,ESPRIT PUBLICATIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,2000.00,1998-09-01,"2/234FUNDVEM   RIBANDER,GOA,Goa,000000-India",Unlisted,Under process of striking off,goa,Indian,02601,Agriculture and Allied Activities
U05001GA2012PTC006876,BAPATLA BIO PROTEINS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-02-08,"CHASE INTERNATIONAL   FF-1, FOURTH FLOOR, BEHIND LAPAZ GARDENS,VASCO DA GAMA,Goa,403802-India",Unlisted,Strike Off,goa,Indian,05001,Agriculture and Allied Activities
